อัตราค่าบริการเช่าอุปกรณ์และสิ่งอำนวยความสะดวกในการผลิตรายการ,,,,,,
,,,,,,
ลำดับ,รายการ,ราคาทั่วไป (เดิม),อัตราค่าบริการ (บาท),หมายเหตุ,,
9,เลนซ์ DSLR  ขนาด,200-800,200-800,ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 100.- บาท,,
10,Monitor  14-17 นิ้ว,1000,"1,000",ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 100.- บาท,,
11,Monitor  20-27 นิ้ว,2000,"2,000",ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 100.- บาท,,
12,Audio Mixer 8-12 CH,2000,"2,000",ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 100.- บาท,,
13,Video Switcher  8   I/P,5000,"5,000","ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 1,000.- บาท",,
14,ไวเรสไมค์,1000/ตัว/วัน,"1,000",ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 100.- บาท,,
15,ไวเรสกล้อง,,"2,000",ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 100.- บาท,,
16,ขาตั้งกล้องใหญ่,5000/วัน,"5,000",,,
17,อุปกรณ์ไฟแสง,300/ชุด,300/ชุด,ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 100.- บาท,,
18,เครนในห้องส่ง,10000/8 ชั่วโมง,"10,000","ระยะเวลาการใช้งานไม่เกิน 8 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 1,000.- บาท",,
19,ชุด Live Stream,5000-,"5,000",ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 500.- บาท,,
20,เครื่องตัดต่อ MAC,5000/เดือน,5000/เดือน,,,
21,เครื่องตัดต่อ PC,3000/เดือน,3000/เดือน,,,
22,Play Out,4000,"4,000",ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 500.- บาท,,
23,CG,5000,"5,000",ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 500.- บาท,,
24,Live Slow,10000,"10,000","ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 1,000.- บาท",,
25,Live U,15000/วัน,"15,000","ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 1,000.- บาท",,
26,จอทีวี  40-55 พร้อมขาตั้ง,2000 - 2500,2000 - 2500,ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 100.- บาท,,
27,ระบบ Sound  สัมมนา,"25,000-30,000","25,000-30,000","ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 1,000.- บาท",,
28,ระบบ Sound  PA,35000/วัน,"35,000","ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 2,000.- บาท",,
29,เครนกล้อง,"30,000/สัปดาห์ (ไม่รวมคน)","30,000/สัปดาห์ (ไม่รวมคน)",,,
30,ราคาห้องส่ง  5,"60,000/คิว","60,000","ระยะเวลาการใช้งานไม่เกิน 8 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 1,000.- บาท",,
31,ห้องส่ง 7,30000/คิว,"30,000","ระยะเวลาการใช้งานไม่เกิน 8 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 1,000.- บาท",,
32,ห้องส่ง 3,40000/คิว,"40,000","ระยะเวลาการใช้งานไม่เกิน 8 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 1,000.- บาท",,
,,,,,,
,"ช่างภาพ ,ช่างเทคนิค               1,000-1,500",,,,,
,"กำกับภาพ  (SW)                     3,000-3,500",,,,,
,,,,,,
,,,,,,
,,,,,,
,ช่อง  5   OB  3 กล้อง   35000   บาท,,,,,
,ไทยรัฐ,,,,,
,"TPBS      กล้องละ  16,000  บาท",,,,,
,ช่างภาพ               1000-1500,,,,,
,SW                      3000-3500,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
